rl,baseline
1.0,1.0
1.0005351305007935,1.0050430297851562
1.0016614198684692,1.0097945928573608
0.9990333914756775,1.0114206075668335
0.996314525604248,1.01484215259552
0.9951797127723694,1.0166183710098267
0.9953604936599731,1.0202226638793945
0.9839025139808655,1.0122764110565186
0.9911819100379944,1.0187134742736816
1.0028116703033447,1.0218204259872437
1.0054008960723877,1.021314024925232
0.9931204319000244,1.0082169771194458
0.9955547451972961,1.0069350004196167
0.989094078540802,1.0013067722320557
0.9932399988174438,1.0107377767562866
0.987764298915863,1.0067082643508911
0.9848607182502747,1.002001404762268
0.9858693480491638,1.005016565322876
0.9864106774330139,1.0079622268676758
0.9868001341819763,1.0085978507995605
0.9727948904037476,0.9931300282478333
0.9659784436225891,0.9859805107116699
0.958046555519104,0.9806861281394958
0.9609578251838684,0.9823921322822571
0.9543540477752686,0.9805015921592712
0.9467143416404724,0.9739440679550171
0.9477256536483765,0.9791237711906433
0.9387244582176208,0.9659429788589478
0.946648120880127,0.9737328290939331
0.9511213302612305,0.9801424145698547
0.9596158266067505,0.9886897802352905
0.9628626108169556,0.9906167984008789
0.9559668898582458,0.988446056842804
0.9603574275970459,0.9930643439292908
0.9505892395973206,0.9847293496131897
0.942396879196167,0.9798077940940857
0.9345071911811829,0.9796227216720581
0.9364351034164429,0.9812338352203369
0.9385462999343872,0.9842184782028198
0.9347814917564392,0.9846204519271851
0.929144024848938,0.9797129034996033
0.9409046769142151,0.9887564778327942
0.9352761507034302,0.9790450930595398
0.9302279949188232,0.9789056777954102
0.9253444671630859,0.9732216596603394
0.9197357892990112,0.9685739278793335
0.9026793837547302,0.9535185694694519
0.899641752243042,0.9484524726867676
0.8981744647026062,0.9487680196762085
0.8858213424682617,0.936347246170044
0.8799306750297546,0.9353798627853394
0.8768155574798584,0.9371880292892456
0.8826125860214233,0.9339406490325928
0.8780184388160706,0.9283987283706665
0.8709903955459595,0.917540431022644
0.8722327351570129,0.9185127019882202
0.8631418943405151,0.9157611131668091
0.8654897212982178,0.9219373464584351
0.8725900650024414,0.9278630018234253
0.8721404075622559,0.9322839975357056
0.8703974485397339,0.9313136339187622
0.86612468957901,0.9246634840965271
0.8669392466545105,0.9247004389762878
0.8729832172393799,0.933656632900238
0.877689778804779,0.9354093074798584
0.8808313608169556,0.9255790710449219
0.8742250800132751,0.9181253910064697
0.8683705925941467,0.9084337949752808
0.8639153838157654,0.9009526968002319
0.8686020970344543,0.9100173115730286
0.8673096895217896,0.9020836353302002
0.8608851432800293,0.8957797288894653
0.8469545841217041,0.8852579593658447
0.8592218160629272,0.8981480598449707
0.8628772497177124,0.9029874205589294
0.8668175339698792,0.9074482321739197
0.8851066827774048,0.9230488538742065
0.8892077803611755,0.9285109043121338
0.8910076022148132,0.9280340075492859
0.891382098197937,0.9285173416137695
0.8910489082336426,0.9251161217689514
0.8872053623199463,0.9200144410133362
0.8921139240264893,0.9291943907737732
0.8921821713447571,0.9303960204124451
0.90555340051651,0.9430796504020691
0.9134227633476257,0.9489824771881104
0.9110070466995239,0.9468128085136414
0.9111214280128479,0.9480127096176147
0.9138777256011963,0.9536358714103699
0.9113032221794128,0.9512897729873657
0.9144718050956726,0.9549105763435364
0.9162903428077698,0.9580771923065186
0.9118943214416504,0.9559150338172913
0.910361647605896,0.9578238725662231
0.910029947757721,0.9595463275909424
0.9169906377792358,0.9711229801177979
0.9239466190338135,0.9785749912261963
0.9218347072601318,0.9766926765441895
0.9184150099754333,0.9721270799636841
0.9146633148193359,0.9684652090072632
0.9151864647865295,0.9699239134788513
0.9155777096748352,0.9724991917610168
0.9174326062202454,0.9780688881874084
0.9176296591758728,0.9796844124794006
0.9312863349914551,0.992264986038208
0.9419658184051514,0.9989407658576965
0.9384382367134094,0.999596893787384
0.9403085112571716,1.0008922815322876
0.9468873739242554,1.007584571838379
0.9298165440559387,0.991128146648407
0.9354926943778992,0.9994344711303711
0.9357679486274719,0.9980608224868774
0.9377478957176208,1.0034326314926147
0.9373049139976501,1.0051789283752441
0.9368330240249634,1.0054975748062134
